id,name,category,conductivity_w_mk,emissivity,density_kg_m3,spec_heat_cap_J_kgK,roughness,thermal_absorptance,solar_absorptance,visible_absorptance,color,source,notes
2286,"Air layer, unventilated, downwards, thickness: 260 mm",Air: Downward Heatflow,1.14,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2287,"Air layer, unventilated, downwards, thickness: 270 mm",Air: Downward Heatflow,1.182,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2288,"Air layer, unventilated, downwards, thickness: 280 mm",Air: Downward Heatflow,1.223,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2289,"Air layer, unventilated, downwards, thickness: 290 mm",Air: Downward Heatflow,1.264,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2232,"Air layer, unventilated, downwards, thickness: 2 mm",Air: Downward Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2290,"Air layer, unventilated, downwards, thickness: 300 mm",Air: Downward Heatflow,1.304,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2256,"Air layer, unventilated, downwards, thickness: 30 mm",Air: Downward Heatflow,0.155,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2257,"Air layer, unventilated, downwards, thickness: 35 mm",Air: Downward Heatflow,0.177,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2233,"Air layer, unventilated, downwards, thickness: 3 mm",Air: Downward Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2258,"Air layer, unventilated, downwards, thickness: 40 mm",Air: Downward Heatflow,0.198,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2259,"Air layer, unventilated, downwards, thickness: 45 mm",Air: Downward Heatflow,0.218,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2234,"Air layer, unventilated, downwards, thickness: 4 mm",Air: Downward Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2260,"Air layer, unventilated, downwards, thickness: 50 mm",Air: Downward Heatflow,0.238,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2261,"Air layer, unventilated, downwards, thickness: 55 mm",Air: Downward Heatflow,0.261,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2235,"Air layer, unventilated, downwards, thickness: 5 mm",Air: Downward Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2262,"Air layer, unventilated, downwards, thickness: 60 mm",Air: Downward Heatflow,0.283,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2263,"Air layer, unventilated, downwards, thickness: 65 mm",Air: Downward Heatflow,0.305,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2236,"Air layer, unventilated, downwards, thickness: 6 mm",Air: Downward Heatflow,0.05,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2264,"Air layer, unventilated, downwards, thickness: 70 mm",Air: Downward Heatflow,0.327,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2265,"Air layer, unventilated, downwards, thickness: 75 mm",Air: Downward Heatflow,0.349,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2237,"Air layer, unventilated, downwards, thickness: 7 mm",Air: Downward Heatflow,0.054,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2266,"Air layer, unventilated, downwards, thickness: 80 mm",Air: Downward Heatflow,0.37,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2267,"Air layer, unventilated, downwards, thickness: 85 mm",Air: Downward Heatflow,0.392,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2238,"Air layer, unventilated, downwards, thickness: 8 mm",Air: Downward Heatflow,0.059,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2268,"Air layer, unventilated, downwards, thickness: 90 mm",Air: Downward Heatflow,0.413,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2269,"Air layer, unventilated, downwards, thickness: 95 mm",Air: Downward Heatflow,0.434,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2239,"Air layer, unventilated, downwards, thickness: 9 mm",Air: Downward Heatflow,0.063,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2150,"Air layer, unventilated, horizontal, thickness: 100 mm",Air: Horiz. Heatflow,0.556,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2120,"Air layer, unventilated, horizontal, thickness: 10 mm",Air: Horiz. Heatflow,0.067,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2151,"Air layer, unventilated, horizontal, thickness: 110 mm",Air: Horiz. Heatflow,0.611,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2121,"Air layer, unventilated, horizontal, thickness: 11 mm",Air: Horiz. Heatflow,0.071,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2152,"Air layer, unventilated, horizontal, thickness: 120 mm",Air: Horiz. Heatflow,0.667,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2122,"Air layer, unventilated, horizontal, thickness: 12 mm",Air: Horiz. Heatflow,0.076,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2153,"Air layer, unventilated, horizontal, thickness: 130 mm",Air: Horiz. Heatflow,0.722,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2123,"Air layer, unventilated, horizontal, thickness: 13 mm",Air: Horiz. Heatflow,0.08,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2154,"Air layer, unventilated, horizontal, thickness: 140 mm",Air: Horiz. Heatflow,0.778,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2124,"Air layer, unventilated, horizontal, thickness: 14 mm",Air: Horiz. Heatflow,0.084,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2155,"Air layer, unventilated, horizontal, thickness: 150 mm",Air: Horiz. Heatflow,0.833,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2125,"Air layer, unventilated, horizontal, thickness: 15 mm",Air: Horiz. Heatflow,0.088,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2156,"Air layer, unventilated, horizontal, thickness: 160 mm",Air: Horiz. Heatflow,0.889,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2126,"Air layer, unventilated, horizontal, thickness: 16 mm",Air: Horiz. Heatflow,0.089,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2157,"Air layer, unventilated, horizontal, thickness: 170 mm",Air: Horiz. Heatflow,0.944,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2127,"Air layer, unventilated, horizontal, thickness: 17 mm",Air: Horiz. Heatflow,0.094,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2158,"Air layer, unventilated, horizontal, thickness: 180 mm",Air: Horiz. Heatflow,1.0,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2128,"Air layer, unventilated, horizontal, thickness: 18 mm",Air: Horiz. Heatflow,0.1,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2159,"Air layer, unventilated, horizontal, thickness: 190 mm",Air: Horiz. Heatflow,1.056,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2129,"Air layer, unventilated, horizontal, thickness: 19 mm",Air: Horiz. Heatflow,0.106,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2111,"Air layer, unventilated, horizontal, thickness: 1 mm",Air: Horiz. Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2160,"Air layer, unventilated, horizontal, thickness: 200 mm",Air: Horiz. Heatflow,1.111,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2130,"Air layer, unventilated, horizontal, thickness: 20 mm",Air: Horiz. Heatflow,0.111,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2161,"Air layer, unventilated, horizontal, thickness: 210 mm",Air: Horiz. Heatflow,1.167,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2131,"Air layer, unventilated, horizontal, thickness: 21 mm",Air: Horiz. Heatflow,0.117,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2162,"Air layer, unventilated, horizontal, thickness: 220 mm",Air: Horiz. Heatflow,1.222,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2132,"Air layer, unventilated, horizontal, thickness: 22 mm",Air: Horiz. Heatflow,0.122,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2163,"Air layer, unventilated, horizontal, thickness: 230 mm",Air: Horiz. Heatflow,1.278,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2133,"Air layer, unventilated, horizontal, thickness: 23 mm",Air: Horiz. Heatflow,0.128,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2164,"Air layer, unventilated, horizontal, thickness: 240 mm",Air: Horiz. Heatflow,1.333,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2134,"Air layer, unventilated, horizontal, thickness: 24 mm",Air: Horiz. Heatflow,0.133,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2165,"Air layer, unventilated, horizontal, thickness: 250 mm",Air: Horiz. Heatflow,1.389,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2135,"Air layer, unventilated, horizontal, thickness: 25 mm",Air: Horiz. Heatflow,0.139,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2166,"Air layer, unventilated, horizontal, thickness: 260 mm",Air: Horiz. Heatflow,1.444,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2167,"Air layer, unventilated, horizontal, thickness: 270 mm",Air: Horiz. Heatflow,1.5,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2168,"Air layer, unventilated, horizontal, thickness: 280 mm",Air: Horiz. Heatflow,1.556,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2169,"Air layer, unventilated, horizontal, thickness: 290 mm",Air: Horiz. Heatflow,1.611,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2112,"Air layer, unventilated, horizontal, thickness: 2 mm",Air: Horiz. Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2170,"Air layer, unventilated, horizontal, thickness: 300 mm",Air: Horiz. Heatflow,1.667,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2136,"Air layer, unventilated, horizontal, thickness: 30 mm",Air: Horiz. Heatflow,0.167,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2137,"Air layer, unventilated, horizontal, thickness: 35 mm",Air: Horiz. Heatflow,0.194,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2113,"Air layer, unventilated, horizontal, thickness: 3 mm",Air: Horiz. Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2138,"Air layer, unventilated, horizontal, thickness: 40 mm",Air: Horiz. Heatflow,0.222,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2139,"Air layer, unventilated, horizontal, thickness: 45 mm",Air: Horiz. Heatflow,0.25,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2114,"Air layer, unventilated, horizontal, thickness: 4 mm",Air: Horiz. Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2140,"Air layer, unventilated, horizontal, thickness: 50 mm",Air: Horiz. Heatflow,0.278,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2141,"Air layer, unventilated, horizontal, thickness: 55 mm",Air: Horiz. Heatflow,0.306,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
