category,name,conductivity,emissivity,source,comments,color_argb
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 180 mm",0.804,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 190 mm",0.846,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 200 mm",0.889,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 210 mm",0.931,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 220 mm",0.974,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 230 mm",1.016,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 240 mm",1.057,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 250 mm",1.099,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 260 mm",1.14,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 270 mm",1.182,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 280 mm",1.223,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 290 mm",1.264,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 300 mm",1.304,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 1 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 2 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 3 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 4 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 5 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 6 mm",0.05,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 7 mm",0.054,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 8 mm",0.059,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Horizontal Heat Flow],"Air layer, unventilated, horizontal, thickness: 9 mm",0.063,0.9,ISO 6946 Method,,"255,175,240,255"
